0,-12920,11084,4904,-1256,-1122,2015,1439947602.9571149
1,-10428,10792,3692,-2774,2825,1220,1439947603.0876479
2,-31808,4772,3300,358,-11219,-6535,1439947603.2226131
3,-14708,10256,6492,-2620,484,1302,1439947603.4926629
4,-13020,9672,6456,-1439,1231,-1835,1439947603.695164
5,-10260,10032,5708,601,-3911,-3162,1439947603.829845
6,-8496,11056,4892,-635,-3277,-1327,1439947603.9652369
7,-9888,5120,2468,3438,-3888,6351,1439947604.1005299
8,-10332,6360,1540,7326,-3925,8832,1439947604.2352059
9,-6972,7532,3156,6090,-5803,1708,1439947604.370187
10,-9684,14984,5100,1027,7611,-541,1439947604.5052299
11,-12176,18952,6704,161,507,412,1439947604.6400061
12,-10644,23380,4728,-1600,-2778,-3740,1439947604.775245
13,-7752,21144,6572,1742,-2177,2677,1439947604.9099851
14,-9592,21672,4236,2302,5591,-4074,1439947605.04513
15,-13612,16544,2368,262,863,-10327,1439947605.179987
16,-12316,5724,2300,-8434,-4850,-12816,1439947605.315253
17,-6340,-728,1176,-11643,-11995,-13058,1439947605.450263
18,-5800,-4612,2616,-8680,-9207,-12075,1439947605.5852151
19,-10220,-4296,5788,963,-6361,-4497,1439947605.7198861
20,-11628,3788,9380,12319,-6564,5042,1439947605.8551741
21,-6000,3248,10244,10087,1503,6278,1439947605.990298
22,-7152,12284,9920,1631,5746,1924,1439947606.1927619
23,-6932,13448,12540,848,-5361,4038,1439947606.3952291
24,-6344,13164,13504,1215,-15173,-12158,1439947606.5301261
25,-4868,8904,4896,495,-5191,3916,1439947606.665159
26,-5080,9784,10664,5288,-7377,4029,1439947606.8001609
27,-3452,14844,11480,-2624,12793,608,1439947607.0026879
28,-9524,14180,8512,-623,6667,-13197,1439947607.205111
29,-11420,9984,680,-9465,7357,-24505,1439947607.3402541
30,-10996,-12292,4428,-12167,22676,7907,1439947607.475189
31,-16252,-1096,-5936,-8979,25882,6914,1439947607.6098311
32,-10256,9660,-6644,1855,5276,-338,1439947607.7452021
33,-17008,4084,-4724,2317,-5700,507,1439947607.8802559
34,-17356,2284,-1892,-164,-6883,-935,1439947608.015192
35,-17516,2988,-2844,-1024,-7007,-230,1439947608.1498799
36,-13620,5864,208,-3287,-1189,344,1439947608.2852049
37,-16200,4004,492,-983,979,1142,1439947608.4201131
38,-16628,5300,912,-304,-884,878,1439947608.7577219
39,-18380,6008,728,1534,-3442,-1665,1439947608.89274
40,-17444,5500,-1004,4242,-610,-16743,1439947609.027719
41,-14132,-2276,-1472,1173,4879,-17577,1439947609.162641
42,-9948,-8508,-1880,3825,10760,-1864,1439947609.2977431
43,-12176,-9776,-2248,6979,11718,5172,1439947609.432642
44,-18076,-9920,-1220,9542,4584,-4822,1439947609.5677531
45,-12040,-9468,-2120,10316,-6028,-8940,1439947609.7026491
46,-10352,-9852,-1412,2,-386,-834,1439947609.8377399
47,-11920,-11744,-832,1021,-80,-1327,1439947609.972755
48,-11464,-11616,-1036,181,2676,-701,1439947610.107753
0,-9716,12868,4764,-13,3140,-136,1439947639.5201759
1,-10788,11280,4704,883,5498,-2828,1439947639.6054051
2,-12024,10484,1880,2990,196,-1871,1439947639.7402401
3,-12756,10400,1700,1905,4684,-228,1439947639.8753259
4,-12644,9500,340,119,3448,2547,1439947640.010391
5,-12968,10100,-120,-1304,4894,-238,1439947640.1452999
6,-13352,10712,-176,-892,-132,-123,1439947640.28035
7,-12148,11260,-492,-1362,-292,10,1439947640.415395
8,-12232,11676,-948,-840,-1740,-2562,1439947640.550379
9,-10224,11148,-1808,-2793,-1305,-1924,1439947640.685415
10,-11508,9656,392,2311,-6927,11754,1439947640.820354
11,-10956,11280,2808,12958,-21897,13149,1439947640.955359
12,-5328,8360,3568,5825,-7369,-3969,1439947641.0907331
13,-4520,6260,1868,4112,-8455,-1875,1439947641.2254469
14,-7620,18916,-544,-1403,-6091,513,1439947641.3602741
15,-8144,19060,2808,-3507,13790,-2548,1439947641.562762
16,-8904,24008,4840,-3486,8153,2391,1439947641.69789
17,-8040,24044,7916,1063,2583,-3853,1439947641.832783
18,-11660,17956,1956,722,1409,-5356,1439947641.968127
19,-8460,15128,3520,-439,-2579,-7544,1439947642.1028509
20,-10796,8412,2912,-7932,-7595,-9258,1439947642.2379839
21,-7988,1292,3036,-15635,-4815,-9033,1439947642.372802
22,-9740,-2604,5968,-9408,-1296,-6937,1439947642.50792
23,-11380,-1252,6388,6804,-7834,2897,1439947642.6428421
24,-15924,6888,12000,10360,-9095,936,1439947642.777992
25,-8424,10240,8512,4921,977,10024,1439947642.912843
26,-10600,12104,7012,1520,18016,5741,1439947643.047967
27,-8308,13564,8896,-248,5205,2275,1439947643.250047
28,-8972,11828,6516,-336,2626,239,1439947643.3853271
29,-8548,12292,6872,2721,-5100,-1584,1439947643.5204649
30,-9348,13432,7512,-2521,12658,-7084,1439947643.655319
31,-13496,12036,4228,-4277,2467,-13663,1439947643.790056
32,-14552,4512,1860,-14238,14876,-9934,1439947643.9253631
33,-12456,-4948,-1444,-20379,32767,4220,1439947644.0604019
34,-18796,1748,-6692,-6749,-656,4320,1439947644.195441
35,-15932,8896,-6004,-4466,7584,-666,1439947644.3306291
36,-12916,4308,-1788,5024,-3436,-62,1439947644.4653649
37,-14372,4388,-3556,837,-3061,1767,1439947644.6011751
38,-14964,6984,-296,1770,-2745,-697,1439947644.735374
39,-18884,1924,-1556,3624,-13385,-2674,1439947644.870424
40,-14732,1920,1012,2750,-18670,-506,1439947645.0053539
41,-14504,7236,1400,3154,-3737,-1280,1439947645.140847
42,-12828,6840,2772,70,706,964,1439947645.275389
43,-16168,5692,2076,57,-874,596,1439947645.4104109
44,-11424,8380,-1320,3381,-9715,8220,1439947645.5452759
45,-9644,13100,964,10073,-11584,25737,1439947645.680877
46,-2000,17892,4332,22151,-19598,8985,1439947645.8153701
47,-12904,13948,-2084,-1341,-32665,-2304,1439947645.9503469
48,-6964,14084,644,-6571,8741,2223,1439947646.0854139
49,-9204,14536,1744,-989,14226,-4693,1439947646.2200921
50,-18572,10604,1332,8461,-1814,-21500,1439947646.355329
51,-18664,7748,300,16947,-727,-27683,1439947646.4904721
52,-17064,3024,-836,15414,5480,-28971,1439947646.6253331
53,-11292,-3004,804,8243,9024,-15868,1439947646.7607419
54,-10508,-8284,-3780,7430,14550,-3988,1439947646.8954549
0,-9692,11976,5212,5083,-7030,8884,1439947678.106313
1,-9096,14976,2984,-2156,1125,21368,1439947678.2157741
2,-8300,17352,752,590,688,20845,1439947678.350641
3,-6112,12620,5088,3080,3362,6011,1439947678.4854889
4,-6720,14960,6652,1529,618,-30,1439947678.6208611
5,-5988,12228,3664,3833,-9421,-2410,1439947678.7558701
6,-4968,11716,2080,3447,-9990,-2883,1439947678.890527
7,-540,11020,-1632,2606,610,-5877,1439947679.02563
8,-3860,17464,-524,-3895,12254,-7279,1439947679.160917
9,-3976,17120,1428,-1053,2027,-1793,1439947679.363025
10,-7712,23496,1012,875,-2651,-3592,1439947679.4981861
11,-11104,20492,1612,4968,-5655,-374,1439947679.6331389
12,-7772,21748,32,1925,-5604,2483,1439947679.7681029
13,-5876,17420,1672,243,2557,403,1439947679.9030881
14,-8344,14900,232,-548,2098,-6609,1439947680.0381861
15,-8448,11464,-204,-3679,-2458,-10293,1439947680.1730299
16,-9500,9676,-128,-6040,-288,-8406,1439947680.308229
17,-11480,8052,1592,-9525,746,-7499,1439947680.443296
18,-12104,2884,4860,-10174,1041,-6511,1439947680.578167
19,-10144,1848,1700,-6722,5094,-5359,1439947680.71313
20,-13376,1468,5504,-6175,-3546,664,1439947680.8480999
21,-13096,4636,4632,3701,-3966,5240,1439947680.9831741
22,-9228,10456,7476,4423,-12221,4917,1439947681.1182351
23,-11668,8836,9024,1299,-1453,-2931,1439947681.2530341
24,-13204,8444,10620,-1038,4623,2926,1439947681.3882239
25,-11272,8236,8120,636,-865,403,1439947681.5905869
