0,1256,16044,3608,-746,-10176,4147,1439944459.8283639
1,-13464,19516,6588,-2632,-2275,-1567,1439944460.3250599
2,8064,12264,9044,-531,907,8291,1439944460.4600871
3,10832,13504,7780,2755,-2075,3820,1439944460.594789
4,4600,11836,4148,4606,-1097,-530,1439944460.7298319
5,12936,11672,5892,2527,1382,-2757,1439944460.8647909
6,7224,12400,316,-714,-2028,2112,1439944460.999671
7,3420,1692,-2692,8639,-1233,-10002,1439944461.1347289
8,8432,19504,4836,926,16942,-11803,1439944461.2697389
9,-7432,24904,2664,2087,-363,-8287,1439944461.472168
10,-304,28236,9968,2475,-5798,-529,1439944461.6071949
11,-1680,24976,5412,-791,-620,2172,1439944461.7421789
12,3612,26348,4700,-3637,8914,17691,1439944461.877259
13,7712,19388,4616,-7466,4226,17252,1439944462.0123
14,5808,5636,3112,-14660,3057,14113,1439944462.1471629
15,3072,-2136,8464,-18024,281,8594,1439944462.282268
16,2392,-4892,4800,-257,3467,-3560,1439944462.417239
17,5356,1516,13868,9925,11270,-10914,1439944462.5521569
18,5024,12212,9656,8465,-5186,-14340,1439944462.6872649
19,-1404,18064,11804,4387,-11885,-7106,1439944462.8223219
20,1600,11708,6908,-7113,-180,18429,1439944462.9571819
21,12676,9836,856,4261,32768,-19937,1439944463.2272
22,9116,13996,1096,5525,-21236,1473,1439944463.3620751
23,15456,17060,984,2714,11147,9986,1439944463.4972889
24,8924,11864,2748,3378,-5625,289,1439944463.6322739
25,12880,13332,-1332,56,1980,4115,1439944463.7671559
26,12184,10456,2884,-5864,15358,3271,1439944463.902246
27,6132,9972,4836,-2773,-2728,-2005,1439944464.0371649
28,9692,13200,3380,-313,-3402,729,1439944464.1717441
29,8584,12884,3688,-740,6097,1318,1439944464.307303
30,8860,19772,-3492,3183,1402,920,1439944464.4421611
31,5652,16856,-980,13634,32213,-8011,1439944464.5771511
32,3288,17936,-2612,10762,32767,-2996,1439944464.7121279
33,-880,16136,4656,2384,19446,-54,1439944464.847156
34,2824,14652,5420,-490,17651,-4987,1439944465.0495679
35,1552,14412,-1816,3743,20838,-2365,1439944465.1847229
36,3620,13832,1904,2620,19715,-4552,1439944465.3198221
37,5056,20772,1920,-1559,8532,3578,1439944465.4547269
38,16,21720,-2120,-5929,9607,18430,1439944465.657228
39,-284,15580,2732,474,11665,-6715,1439944465.8596289
40,2612,16700,3076,6839,-8940,-24661,1439944466.0622399
0,-732,15724,3240,1989,-2458,-182,1439944496.5468881
1,12276,16168,5220,128,10775,4615,1439944496.6399529
